City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
220,Nova Vicosa,-17.8919,-39.3719,75.65,79,7,7.23,BR,clear sky
221,Uddevalla,58.3478,11.9424,57.99,33,8,1.99,SE,clear sky
222,Lethem,3.3803,-59.7968,74.16,92,75,7.65,GY,broken clouds
223,Lhasa,29.65,91.1,63.3,17,94,8.14,CN,overcast clouds
224,Tocopilla,-22.092,-70.1979,64.31,70,39,7.85,CL,scattered clouds
225,Maragogi,-9.0122,-35.2225,79.57,77,48,4.21,BR,scattered clouds
226,Kose,40.21,39.6511,61.63,39,73,13.02,TR,broken clouds
227,Mineros,-17.1167,-63.2333,63.5,93,100,4.07,BO,overcast clouds
228,Puerto Aysen,-45.4,-72.7,39.87,97,51,2.21,CL,broken clouds
229,Brisas De Zicatela,15.8369,-97.0419,81.88,77,1,3.51,MX,clear sky
230,Kangundo,-1.2979,37.3471,73.74,62,97,3.22,KE,overcast clouds
231,Bel Ombre,-4.6167,55.4167,85.84,74,40,8.05,SC,light intensity shower rain
232,Yuzhno-Kurilsk,44.0306,145.8556,37.89,78,91,4.09,RU,overcast clouds
233,Gadzhiyevo,69.2551,33.3362,33.35,86,70,17.76,RU,broken clouds
234,Quixere,-5.0742,-37.9886,75.65,77,70,5.73,BR,broken clouds
235,Nadym,65.5333,72.5167,33.75,100,100,17.38,RU,overcast clouds
236,Puerto Penasco,31.3167,-113.5333,67.37,56,0,2.59,MX,clear sky
237,Zhaqsy,51.9083,67.3133,78.78,17,8,15.68,KZ,clear sky
238,Luanda,-8.8368,13.2343,86.0,70,40,6.91,AO,scattered clouds
239,Mulayjah,27.271,48.4242,105.69,7,0,11.79,SA,clear sky
240,Howrah,22.5892,88.3103,102.2,30,0,4.61,IN,haze
241,Saldanha,-33.0117,17.9442,68.05,76,48,8.32,ZA,scattered clouds
242,Dharchula,29.85,80.5333,74.77,45,80,3.02,IN,broken clouds
243,Keflavik,64.0049,-22.5624,53.51,87,75,12.66,IS,broken clouds
244,Necochea,-38.5473,-58.7368,60.1,98,100,9.17,AR,overcast clouds
245,Livny,52.4253,37.6069,46.6,42,53,7.72,RU,broken clouds
246,Mingshui,36.7167,117.5,66.09,29,57,12.77,CN,broken clouds
247,Bilajer,40.5681,50.0378,67.82,64,0,16.11,AZ,clear sky
248,Ust'-Barguzin,53.45,108.9833,44.24,54,26,6.46,RU,scattered clouds
249,Meadow Lake,34.8014,-106.5436,57.18,37,0,1.81,US,clear sky
250,Petrovsk,52.3064,45.3917,49.39,37,25,10.98,RU,scattered clouds
251,Sitka,57.0531,-135.33,44.49,76,100,0.0,US,overcast clouds
252,Labrador City,52.9463,-66.9114,35.51,69,100,5.75,CA,overcast clouds
253,Arraial Do Cabo,-22.9661,-42.0278,69.66,94,20,3.44,BR,few clouds
254,Wailua Homesteads,22.0669,-159.378,74.19,75,40,16.11,US,scattered clouds
255,La'Ie,21.6477,-157.9253,75.16,73,63,4.0,US,broken clouds
